Muestreo,Nissan,Ford,WW,Toyota,Chevrolet
1,5,4,5,10,16
2,4,0,5,12,0
3,1,4,12,12,8
4,12,8,8,10,5
5,15,4,7,11,9
6,5,6,5,9,3
7,8,12,10,15,4
8,5,8,4,6,12
9,0,0,2,8,11
10,7,5,8,15,6
11,10,10,8,4,14
12,10,9,10,2,10
13,13,9,11,4,15
14,8,7,12,5,24
15,16,10,15,2,14
16,13,10,17,3,14
17,11,3,10,4,10
18,14,11,11,1,18
19,13,11,11,5,12
20,12,9,12,3,15
21,8,3,5,0,5
22,5,7,10,6,6
23,4,5,2,3,7
24,5,2,5,2,2
25,5,6,3,0,5
26,6,5,5,2,4
27,6,4,3,1,1
28,5,3,7,0,3
29,8,6,3,4,0
30,4,7,6,2,5
31,13,4,5,4,15
32,2,8,4,6,10
33,9,3,1,8,4
34,11,2,3,6,6
35,8,2,6,2,1
36,4,3,0,1,10
37,10,3,5,1,10
38,14,1,2,6,0
39,7,7,3,5,0
40,2,3,8,2,12
41,11,4,4,6,1
42,11,10,2,1,6
43,9,10,3,9,7
44,11,7,4,9,9
45,6,5,6,5,5
46,12,6,4,5,7
47,6,6,2,9,5
48,3,1,4,8,5
49,3,8,9,4,12
50,7,3,9,3,6
51,11,5,4,7,13
52,10,1,0,6,5
53,11,1,1,6,14
54,5,8,2,6,12
55,15,7,7,4,7
56,9,7,3,2,10
57,7,7,6,1,3
58,6,4,1,10,13
59,9,7,2,5,5
60,6,0,8,0,4
61,6,0,5,5,5
62,1,6,5,4,10
63,6,10,5,5,15
64,8,2,4,5,12
65,7,1,2,0,3
66,13,3,2,1,9
67,6,9,1,0,8
68,13,3,7,8,13
69,11,5,10,8,3
70,10,1,9,1,2
71,13,10,3,0,15
72,5,6,8,9,8
73,7,11,7,4,13
74,13,8,3,2,5
75,10,4,4,6,10
76,12,9,10,3,3
77,9,6,3,1,16
78,5,11,2,5,4
79,14,4,6,8,9
80,4,2,5,7,8
81,9,2,5,5,7
82,12,1,5,8,13
83,14,1,4,10,1
84,13,1,3,2,15
85,14,10,2,0,7
86,12,9,2,1,15
87,4,5,7,10,13
88,9,11,6,1,12
89,15,5,9,2,6
90,10,5,4,11,13
91,6,6,3,2,1
92,8,9,7,7,12
93,6,4,2,8,4
94,7,4,6,1,12
95,5,10,2,12,2
96,6,9,4,7,2
97,1,3,2,1,2
98,13,9,5,4,9
99,10,6,2,4,9
100,12,4,1,1,10
101,12,9,7,8,4
102,3,2,1,10,15
103,6,3,6,4,12
104,8,4,7,6,5
105,7,1,8,1,8
106,13,0,3,7,12
107,14,5,5,3,2
108,6,1,1,2,5
109,8,7,2,3,12
110,6,5,9,1,14
111,6,5,2,11,5
112,7,9,1,6,7
113,10,6,6,11,1
114,3,1,5,2,3
115,6,6,8,6,10
116,6,2,6,4,15
117,6,4,2,5,6
118,5,3,7,7,6
119,3,3,5,6,7
120,8,4,2,5,2
121,8,9,9,4,8
122,6,6,8,3,1
123,12,4,3,1,10
124,15,8,7,3,5
125,11,10,7,3,3
126,6,8,3,12,5
127,8,7,6,1,5
128,5,3,9,2,4
129,12,5,4,0,1
130,11,2,0,2,4
131,7,7,7,6,11
132,4,5,3,7,2
133,7,6,9,0,1
134,6,9,2,5,4
135,8,3,2,6,1
136,9,10,11,0,10
137,13,3,6,0,7
138,11,7,3,8,1
139,9,5,4,10,10
140,14,1,1,8,15
141,9,2,4,1,6
142,13,10,0,5,0
143,7,4,3,9,4
144,7,1,3,3,8
145,7,3,9,3,1
146,10,2,3,6,13
147,9,11,5,2,11
148,14,2,1,6,5
149,6,1,2,0,5
150,5,7,6,4,1
151,7,9,5,2,11
152,10,9,4,1,7
153,9,8,0,1,4
154,12,7,7,5,14
155,13,1,3,8,13
156,11,1,0,3,1
157,10,7,1,1,9
158,6,8,1,3,12
159,8,9,0,4,6
160,8,4,1,0,9
161,5,7,11,4,14
162,11,9,2,8,5
163,10,6,11,5,0
164,11,5,4,4,0
165,12,1,5,3,12
166,10,2,0,6,8
167,14,10,7,0,2
168,6,7,7,7,3
169,7,7,6,3,10
170,5,9,2,12,3
171,5,4,3,0,6
172,8,6,6,3,1
173,5,6,2,5,12
174,6,5,2,3,11
175,4,6,1,10,2
176,13,2,6,6,6
177,4,4,9,1,1
178,9,8,1,9,9
179,4,7,0,5,10
180,13,3,2,8,8
